av号,播放量,点赞数,评论数,硬币数,转发数,收藏,标题,标签
79260078,71431,3265,223,1173,732,3725,【赖冠霖】韩国时期到底有多好看,明星 赖冠霖 奶罐 全能打卡挑战 娱乐 剪辑 
77235836,10028,199,74,50,9,100,【热花】迪丽热巴x华晨宇沙雕视频之念诗之王,鬼畜 自制 拉郎 沙雕 圈地自萌 cp向 热花 
77378446,234571,35043,735,29198,1262,27478,【Minecraft】要把这首好听的《despair》从抖音抢救回来！,鬼畜 我的世界 MC 鬼畜调教 MINECRAFT 自制 dispair 音符盒 单机游戏 抖音 
76431087,258767,22219,396,4051,1251,15879,【刺客伍六七】百变阿柒,论BGM的重要性 国产动画 热血 国漫 刺客伍六七 伍六七 
75309504,614627,30483,2902,17661,402,3709,在早餐摊徘徊了很久，等别人走后再上前吃剩下的碗底,情感 生活 正能量 记录 感动 
79107254,57674,892,21,61,7,114,明侦爆笑高能名场面第二期,综艺 撒贝宁 王鸥 白敬亭 何炅 魏晨 明星大侦探 魏大勋 
79483346,1066,31,10,8,4,11,今  天  老  八  不  在  家,鬼畜 百万剪辑师挑战 鬼畜调教 今天妈妈不在家 搞笑 老八 奥利给 
79290879,152659,19455,1305,17455,3283,10128,新年小鹿妆 ｜ 什么是完美圣诞节？,美妆 圣诞 化妆教程 种草 学生党 小鹿妆 
79198757,115425,798,134,29,12,324,青梅竹马从小流落孤岛，尝到爱情的滋味后，竟拒绝救援不想离开,影评 电影解说 电影剪辑 青梅竹马 剧情片 影评杂谈 孤岛 爱情片 青春珊瑚岛 
67403668,1373830,5807,2453,736,165,3904,斗破苍穹五版纳兰嫣然，没有对比就没有伤害,全能打卡挑战 电视剧 吴磊 美女 斗破苍穹 萧炎 纳兰嫣然 
79519985,74329,1647,257,544,86,1846,【E舞成名】想在辉夜城起舞 - Love Live!,舞蹈 宅舞 E舞成名 想在辉夜城起舞 LOVELIVE 跳舞机 
76660105,179958,11395,807,4963,742,2541,用猫和老鼠打开我的职高生活（太真实了）,童年回忆杀 猫和老鼠 全能打卡挑战 自制 童年 新人 剪辑 校园 
71068184,1094057,85253,905,35924,8446,107871,【腐朽的资本主义气息】高级的颓废感！骨子里散发的媚魂,秀场 模特 Jessica Stam Frida Gustavsson Vlada Roslyakova Angela Lindvall Gisele Bundchen CARMEN KASS natasha poly Eugenia Volodina 
79164790,83221,682,124,46,77,581,【一夜新娘】秦尚城和花溶直播 连麦啦！【袁昊直播-赵昭仪直播】宝藏男孩女孩,直播 秦尚城 花溶 袁昊 赵昭仪 一夜新娘 
73651064,1966035,150860,2862,113461,5672,65298,原速的unravel实在太难了顶不住了,演奏 unravel ANIMENZ 动漫音乐 金木研 钢琴 翻弹 
59846519,3594937,162058,8317,77205,25005,568906,变态心理学 北京大学,心理学 心理 医学 学习 公开课 视频教程 课程 教学 教学视频 教育 
79427118,446153,30963,5095,27793,7281,16639,【答案05】马前卒演讲完整版：社会斗争讲科学，中等收入无陷阱,马前卒 睡前消息 督工 答案年终秀 
79498966,233992,15791,798,2354,227,1019,局座一刻第14期： 70周年之际要散摊？马克龙称北约已经“脑死亡”,战忽局 星海 历史 法国 军事 北约 
79277581,68063,4376,179,618,409,3465,生涯最霸气演讲？霉霉用一席话怼了过去十年的黑子,欧美音乐 明星 TAYLORSWIFT 霉霉 留学 英语 中英字幕 考研 学习 音乐 欧美 
79294498,60629,320,70,8,7,60,有人还记得［唐人街探案］这个经典片段吗,全能打卡挑战 电影剪辑 影视剪影 经典 唐人街探案 王宝强 
77431368,840042,75725,938,68645,8257,54697,【jojo】用31个替身名唱一首稻香,MAD.AMV JOJO的奇妙冒险 空条承太郎 DIO JOJO梗 jojo的奇妙冒险 MAD AMV JOJO 替身 搞笑 稻香 
71198340,19994,888,96,445,141,337,【装机猿RAP】我电脑老死机怎么整？那你死不死呀,鬼畜 搞笑 洗脑循环 鬼畜调教 蜜汁带感 
79409355,5231,793,154,445,12,121,秋冬季/cut crease眼妆,美妆 化妆 化妆教程 眼妆 彩妆 
78793456,1464994,62121,1298,6879,16516,39236,卧槽他没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了,萌宠 搞笑 狐狸 可爱 搞笑视频 动物圈 沙雕 
30211021,4220450,124594,7885,39501,18445,79654,在YouTube上的中国军队宣传片,星海 解放军 中国 军事科技 军事 武器 枪械 陆军 
77425215,81490,2007,1056,839,259,1153,【业余毁三观】未来几年的恶性裁员会增加吗？资本寒冬的根源是什么？如何熬过经济下行？,数码 vlog 聊聊我的职业 美国 华为 网易 马化腾 互联网 经济 刘强东 共青团中央 芒果冰OL 观察者网 
79237061,381633,41165,1177,7094,174,1932,超大肉食性椰子螺 里面有可能有价值上万的美乐珠,30天vlog挑战 美食 科普 搞笑 美食制作 海鲜 吃货 生活 珍珠 椰子螺 
79388080,16515,1992,141,205,220,1055,战战，从你身上我似乎看到了每次写年终总结头秃的我。不愧是社畜战战，牛批。,明星 肖战 真果粒 全能打卡挑战 饭拍 搞笑 
79289022,168304,3834,330,378,1065,1583,口 若 悬 河,万恶之源 表情包 新科娘 
79594604,89137,6376,757,417,170,566,香港导演这么努力，为什么拍不好《攀登者》？,香港 攀登者 观学院 
77756341,43969,2060,149,925,533,2511,四重降智 小狐狸x狗妈x爱丽丝x小东「琪露诺的完美算数教室」【熟肉&amp;翻唱】【白上吹雪x神楽七奈x小东人鱼x物述有栖】,日文翻唱 外语翻唱 翻唱 音乐 东方 虚拟UP主 小东人鱼 花寄女子寮 狗妈 小狐狸 白上吹雪 神乐七奈 
77227596,220460,1253,406,44,181,411,卧槽，这是钓了个什么怪物？？？,趣闻 钓鱼 高能 生活记录 动物圈 怪物 野外生存 
79089003,404402,17506,421,5686,317,927,新英雄腕豪实战！我是，挨打之王！,英雄联盟 电子竞技 游戏练级挑战 网络游戏 LOL 游戏视频 搞笑 瑟提 腕豪 新英雄 
75668243,379465,26585,1069,20728,886,9172,【诉爷】《钢铁洪流进行曲》气场全开～,演奏 钢铁洪流进行曲 诉爷 bilibili音乐星计划 钢琴曲 进行曲 
78064139,929,283,6,30,7,43,当老外发现豫章书院时,鬼畜 为民除害 豫章书院 外国人 老外 吴军豹 
76814957,16343,143,44,10,5,150,高中社博会超紧张翻跳woman up!,舞蹈 街舞 JAZZ 爵士舞 翻跳 
78609836,19241,21,77,1,6,28,iPhone 11与iPhone X速度比拼,数码 IPHONE 手机 iPhone X 苹果手机 iPhone 11 
79300321,3047,151,55,96,8,63,【随机摄影场景挑战】裂开！ 约小姐姐出来竟然在这种地方拍照！× VOL.1,vlog 数码 好奇心计划 日常 摄影 搞笑 LOLITA 随机摄影场景挑战 器材 随机挑战 
76994220,183729,6606,922,1650,152,3198,外国人永远做不出也无法理解，感谢玄机带给我们的国风武侠，沧海横流方显国漫本色，2020王者归来,秦时明月 国风 中国风 天行九歌 国漫 剪辑 武侠 国产动画 玄机科技 国产动漫 
79338822,106730,6606,344,3868,467,3259,【新科娘】下山,鬼畜 下山 新科娘 
79046515,124078,12266,787,4478,3258,4706,Redmi K30 这是全球首拆吗？-艾奥科技,数码 全能打卡挑战 安卓 演示 手机 教程 拆解 技能 Redmi K30 
78427813,146887,4670,358,826,259,847,腾讯亏的最惨的一次 被马云忽悠花了600亿本都没收回！,腾讯 部落冲突 网络游戏 皇室战争 马化腾 腾讯游戏 马云 荒野乱斗 
79012351,351570,23732,359,11985,968,17344,【年度巨献/燃哭2019】感谢有你，见证每一个“梦境”的诞生！,GMV 年度盘点 暴雪 多素材 CG 单机游戏 燃向 热血 燃 
79019972,909706,17538,1160,2465,13225,10322,哈哈哈暴躁耿直老哥,是在下输了 暴躁 沙雕 
76976895,2500624,206280,8508,232132,47852,132527,【完整版】香港金融保卫战，国际巨鳄索罗斯做空英镑泰铢，决战香港,科普 巫师财经 资本巨鳄 泰国 索罗斯 做空 英镑 泰铢 香港 
77785643,240089,17549,577,11583,427,11646,前方高能，你们喜欢就行！,MAD.AMV 剪辑 论BGM的重要性 MAD AMV 多素材 新人 治愈向 玉子爱情故事 动漫 综漫 
79476311,216079,2612,731,1317,324,5968,QQ闪照永久保存的技巧，小姐姐发给你的闪照可以永久保存啦,数码 技术宅 小姐姐 技巧 QQ 安卓 手机 教程 
79594981,9368,621,89,266,147,281,【奥利给】圣诞节吃什么,鬼畜 2019新人嘉年华 圣诞快乐 人力VOCALOID 搞笑 圣诞歌 巨魔战将 铃儿响叮当 老八 奥利给 冬泳怪鸽 
76508251,111094,7233,418,2276,278,5226,flash动画大一作业,作业 原创动画 动画短片 学生作品 FLASH动画 
77351351,2174813,165388,3604,30402,1447,9987,当你女朋友偷玩亚索时,英雄联盟 搞笑 电子竞技 新人 游戏视频 亚索 日常 第一视角 LOL 逗比 
79206618,1887086,109380,2650,30037,4091,8773,【歪一旦】偶遇一位外国友人，帮他完成了一个心愿,旅游 歪果仁 非洲 预告 老外 朱一旦 肯尼亚 非洲警告 高佑思 
77248180,481673,19542,2615,15024,1336,19876,网易云评论最多的中文歌TOP50，全网最火的歌都在这里！！！,国风音乐 周杰伦 中国风 循环 榜单 流行音乐 精选歌单 网易云音乐 
79075780,9034,510,53,151,31,203,舌尖上的汤姆,舌尖上的中国 猫和老鼠 汤姆 
79117273,107896,12636,416,14752,785,8357,【少女前线】格林娜不想上班,手书 少女前线 打首獄門同好会 格林娜 
79538064,69256,2990,811,1154,431,525,看着牛叉，实则渣渣，这就是范.迪塞尔的御用座驾？,汽车 挑战者 道奇 肌肉车 平行进口车 
78877456,76200,2850,138,580,347,706,【伍六七】一见钟情之你以为你唱歌VS实际上你唱歌,音乐 动漫 国漫 CUT 伍六七 
79125784,70030,7102,393,7483,523,6639,一首通俗易懂的说唱歌曲，希望里面说的不是你！,RAP 原创歌曲 HIPHOP 嘻哈 饶舌 中国有嘻哈 
77594248,111040,923,54,2,16,164,这就是男人的第一视角,电影 电影剪辑 爱情 
79210232,4470,345,49,151,22,146,希  望  Dio  花（希望之花）,鬼畜 全能打卡挑战 DIO 搞笑 迪奥 鬼畜调教 JOJO的奇妙冒险 JOJO 迪奥布兰度 希望之花 
77889118,268527,27127,1467,25909,2752,32139,【赤羽x乐正绫】《赤伶》【炸裂戏腔】【原创剧情向pv附】,中文翻唱 VOCALOID SynthV 国风音乐 翻唱 赤羽 VOCALOIDCHINA 良调校 全民音乐UP主 VOCALOID中文曲 古风 乐正绫 虚拟歌手 
79285784,308680,21695,707,12904,4324,10498,哆 啦 A 梦 被 删 除 一 集 ！,鬼畜 鬼畜调教 吴亦凡 波澜哥 老八 奥利给 娇喘哥 冬泳怪鸽 面筋哥 Giao哥 黑手哥 
79393730,3119,75,13,33,9,16,App Store限免推荐(iOS)-2019/12/16,数码 IOS APP 苹果 APPSTORE 苹果手机 限免 
79236541,39403,2493,203,1699,366,2364,【海上钢琴师】宁愿一生孤独 我不愿随波逐流,演奏 百万剪辑师挑战 经典 影视剪辑 海上钢琴师 钢琴 音乐 电影剪辑 剧情 高分电影 踩点 
79465773,1385049,126924,2783,99904,1961,19657,抖音上曝光的肯德基原料是真的吗？小伙一次性全买来求真！,美食 吃播 全能打卡挑战 美食圈 料理 吃货 试吃 生活 肯德基 网红 搞笑 
76229162,192190,3965,157,267,222,869,换装视频 一抬腿就是一套衣服,服饰 服装搭配 时尚 
75956086,202483,7088,1503,3458,1697,5172,男生如何化出一个精致的妆容？约会/出席场合 全部适用 up主就来给我大家讲解一期男生妆容！！！如果喜欢请多关注+转发+投币,美妆 约会 化妆教程 美妆博主 男生化妆 分享 
63760741,2958971,3542,13423,47692,4710,781,,国产动画 脉动 刺客伍六七 动漫 搞笑 国漫 
77436085,182300,13147,224,5374,1284,13409,中国风的JAZZ怎么这么美！仙气满满~~【嘉禾舞社通州店 刘婷婷 编舞 琵琶语】,舞蹈 街舞 编舞 琵琶语 嘉禾舞社 jazz 
79392871,7430,90,12,28,26,157,郎朗谈论巴赫的重要性,音乐 巴赫 古典 郎朗 
79110072,516461,46867,2376,37414,9332,21630,《崩坏3》小剧场——新 闻 发 布 会,手机游戏 手书 互动视频 八重樱 卡莲 奥托 绯玉丸 崩坏3 小剧场 miHoYo 
78986700,26553,202,64,84,55,59,尚酷启动排气声像法拉利,汽车 日常 改装 法拉利 排气 声浪 超跑 
78322110,24240,846,102,299,123,474,奥.奥.利.给.奥.利.给.,鬼畜 洗脑循环 音MAD 老八 B.B.K.K.B.K.K. 奥利给 岛市老八 
77480574,216330,12425,579,4864,96,932,网友闲鱼花重金买的技嘉游戏电脑，用了一个月就坏了被坑了吗,数码 技术宅 日常 科技 软件 手机 硬件 电脑 体验 外设 维修 
79493694,64575,1421,299,851,157,1867,iPad Pro可以连的东西可能远比你想象的多,数码 全能打卡挑战 苹果 IPADPRO USB-C iPad Pro type-c 
77269230,546551,30034,469,6282,3630,32255,【俄罗斯2day舞团】 SuperM  - ‘Jopping’,舞蹈 明星舞蹈 SuperM KPOP DANCE COVER 韩舞 翻跳 
79238376,30730,1938,197,2072,644,2084,【派克实用技巧】水鬼16种究极连招，让你成为峡谷最帅的鬼~~,电子竞技 英雄联盟 全能打卡挑战 攻略 技巧 游戏视频 英雄联盟LOL 派克 技巧分享 血条消失 血港鬼影 
78498215,8730,45,5,6,50,60,下山舞蹈-原创编舞-通辽毅舞舞蹈工作室,中国华服日 舞蹈 汉服 原创编舞 下山 
79154249,21181,1566,172,620,50,369,一人之下封神篇陈朵解析，国创最悲剧的角色之一！,全能打卡挑战 动画 剪辑 国产 冯宝宝 王也 一人之下 诸葛青 陈朵 
78407198,4821,408,76,316,25,436,【米米】cut crease眼妆学不会？全站最白话的半截断眼妆教程，秘密全在这个视频里！,美妆 全能打卡挑战 美妆教程 化妆教程 欧美妆 新手眼妆技巧 学生党 眼妆教程 cutcrease 半截断眼妆 
78693425,31117,1847,69,768,216,932,【白敬亭】白·怼天怼地·敬亭，用派大星接电话的方式打开白敬亭,明星 白敬亭 小白 搞笑 剪辑 海绵宝宝 派大星 
77318456,152533,308,35,14,2,75,萨顶顶去国外砸场子了，开口演唱《左手指月》，一场耳朵的盛宴,萨顶顶 唱歌 音乐 明星 歌手 
79263124,87981,11372,763,7662,411,7723,梦回几年前的B站，你是否也曾被深深的感动过！,MAD.AMV 治愈向 多素材 论BGM的重要性 MAD 可爱 唯美 治愈 动漫 动画 补番推荐 
79084337,229670,23787,869,22782,3647,18862,【鱼年大吉｜说书人】全员踩点向｜预知后事如何，且听我下回分说,张若昀 郭麒麟 李沁 说书人 影视剪辑 踩点 
77429409,666262,66877,4758,55753,11199,22846,你永远不知道，化学家为了打发无聊会干出什么事,科普 化学 好奇心计划 小学二年级 毕导 科学 纳米 科研 无聊 
77367002,14526,514,149,284,22,263,【5倍甜】鞠婧祎-恋爱告急❤【翻跳】,明星舞蹈 舞蹈 翻跳 恋爱告急 
76703024,4409,45,9,15,14,18,卢本伟高能瞬间,鬼畜 鬼畜调教 五五开 卢本伟 卢本伟牛逼 卢姥爷 
79107722,117987,1168,56,6,10,128,自从有了小白兔，心心念念的都是它。-郎朗,综艺 真人秀 女神 郎朗 吉娜 
60043361,6120984,498655,13601,405495,21776,114383,【何同学】涨粉百万后，我的生活有什么变化？,数码 vlog 科普 科技 日常 自制 网红 粉丝 生活 
79294339,62637,631,58,101,70,71,【新英雄厄斐琉斯】你绝对意想不到的五杀方式,英雄联盟 英雄联盟LOL 五杀 新英雄 MOBA 厄斐琉斯 
79520336,54201,3003,447,1379,317,703,从机械工程师的视角解读工业设计版高达G40，万代HG高达G40把玩分享,手办模玩 全能打卡挑战 手办模型 高达模型 万代 测评 模型 野生技术协会 模玩分享 戴萌兔 
78379411,165651,18763,217,3115,630,1756,用猫和老鼠还原大学生一天的生活,童年回忆杀 全能打卡挑战 猫和老鼠 童年 新人 剪辑 大学生 
79598983,11659,109,74,18,14,63,有多少人拿到新电脑会进BIOS看看呢？,数码 组装电脑 BIOS 
79184553,2188136,215328,5455,169099,36534,149383,b 站 热 度 年 度 总 结（ 禁 止 套 娃 ）☆,明日方舟 全能打卡挑战 禁止套娃 新宝岛 天气之子 影流之主 奥利给 团长 茄子 千层套路 财大nb 沙雕 
